

lambda(m), TE3
1.54164e-06, 0.998066
1.54114e-06, 0.998018
1.54065e-06, 0.997968
1.54015e-06, 0.997917
1.53965e-06, 0.997865
1.53916e-06, 0.997811
1.53866e-06, 0.997757
1.53816e-06, 0.997702
1.53767e-06, 0.997645
1.53717e-06, 0.997588
1.53668e-06, 0.99753
1.53619e-06, 0.99747
1.53569e-06, 0.997409
1.5352e-06, 0.997348
1.5347e-06, 0.997285
1.53421e-06, 0.997222
1.53372e-06, 0.997157
1.53323e-06, 0.997091
1.53273e-06, 0.997024
1.53224e-06, 0.996957
1.53175e-06, 0.996888
1.53126e-06, 0.996818
1.53077e-06, 0.996747
1.53028e-06, 0.996675
1.52979e-06, 0.996602
1.5293e-06, 0.996528
1.52881e-06, 0.996454
1.52832e-06, 0.996378
1.52783e-06, 0.996301
1.52734e-06, 0.996223
1.52685e-06, 0.996144
1.52637e-06, 0.996064
1.52588e-06, 0.995983
1.52539e-06, 0.995902
1.5249e-06, 0.995819
1.52442e-06, 0.995735
1.52393e-06, 0.99565
1.52344e-06, 0.995564
1.52296e-06, 0.995478
1.52247e-06, 0.99539
1.52199e-06, 0.995301
1.5215e-06, 0.995211
1.52102e-06, 0.995121
1.52053e-06, 0.995029
1.52005e-06, 0.994937
1.51957e-06, 0.994843
1.51908e-06, 0.994748
1.5186e-06, 0.994653
1.51812e-06, 0.994556
1.51764e-06, 0.994459
1.51715e-06, 0.994361
1.51667e-06, 0.994261
1.51619e-06, 0.994161
1.51571e-06, 0.994059
1.51523e-06, 0.993957
1.51475e-06, 0.993854
1.51427e-06, 0.99375
1.51379e-06, 0.993644
1.51331e-06, 0.993538
1.51283e-06, 0.993431
1.51235e-06, 0.993323
1.51187e-06, 0.993214
1.51139e-06, 0.993104
1.51091e-06, 0.992993
1.51044e-06, 0.992881
1.50996e-06, 0.992768
1.50948e-06, 0.992654
1.509e-06, 0.992539
1.50853e-06, 0.992423
1.50805e-06, 0.992306
1.50758e-06, 0.992188
1.5071e-06, 0.992069
1.50662e-06, 0.991949
1.50615e-06, 0.991829
1.50567e-06, 0.991707
1.5052e-06, 0.991584
1.50473e-06, 0.99146
1.50425e-06, 0.991335
1.50378e-06, 0.99121
1.50331e-06, 0.991083
1.50283e-06, 0.990955
1.50236e-06, 0.990826
1.50189e-06, 0.990697
1.50141e-06, 0.990566
1.50094e-06, 0.990434
1.50047e-06, 0.990302
1.5e-06, 0.990168



lambda(m), TE1
1.6e-06, 0.995617
1.59946e-06, 0.995689
1.59893e-06, 0.99576
1.59839e-06, 0.995829
1.59786e-06, 0.995897
